date,"Cumulative Monthly Alpha from CAPM, 2001:01=100"
2001-01-31,100
2001-02-28,104.02449
2001-03-30,114.4760593642
2001-04-30,114.3227759207
2001-05-31,124.7187632781
2001-06-29,122.9661154416
2001-07-31,116.7741566985
2001-08-31,114.0766386465
2001-09-28,108.3977324597
2001-10-31,120.0660546135
2001-11-30,111.6269718329
2001-12-31,115.7153320017
2002-01-31,115.9220342992
2002-02-28,113.2811796593
2002-03-28,124.4251250833
2002-04-30,133.5245957734
2002-05-31,125.7341165855
2002-06-28,122.5292042473
2002-07-31,115.0641369844
2002-08-30,113.5840900032
2002-09-30,117.2467793615
2002-10-31,114.1807409072
2002-11-29,126.9756634621
2002-12-31,125.2915217498
2003-01-31,133.7946313398
2003-02-28,133.7308915774
2003-03-31,132.6930863664
2003-04-30,133.6828971748
2003-05-30,141.6785915695
2003-06-30,140.8346405352
2003-07-31,146.5076570245
2003-08-29,162.9866624774
2003-09-30,168.4566741555
2003-10-31,172.5468864323
2003-11-28,175.4817191689
2003-12-31,170.0593340466
2004-01-30,179.4260321066
2004-02-27,177.7124417295
2004-03-31,180.0355165391
2004-04-30,179.0736407848
2004-05-28,181.4220483248
2004-06-30,182.9901335151
2004-07-30,178.1195583274
2004-08-31,174.2412365002
2004-09-30,179.3749583236
2004-10-29,182.3252817631
2004-11-30,190.7281617213
2004-12-31,192.4176699235
2005-01-31,191.8964874227
2005-02-28,198.0764562312
2005-03-31,198.1299764897
2005-04-29,188.4984622596
2005-05-31,194.1991647042
2005-06-30,207.182000302
2005-07-29,217.3433243796
2005-08-31,232.7490538983
2005-09-30,238.2177722185
2005-10-31,223.2035968671
2005-11-30,224.6468982855
2005-12-30,229.0554588762
2006-01-31,261.134263592
2006-02-28,260.0012542491
2006-03-31,269.9619282995
2006-04-28,279.2201646458
2006-05-31,273.3925885115
2006-06-30,264.4319003697
2006-07-31,251.4038695023
2006-08-31,248.0148196395
2006-09-29,227.1712325718
2006-10-31,230.5640576474
2006-11-30,238.137971659
2006-12-29,229.3667310041
2007-01-31,230.5091149446
2007-02-28,247.2782381404
2007-03-30,245.7653404238
2007-04-30,240.0843271207
2007-05-31,235.291667749
2007-06-29,250.960116371
2007-07-31,263.7147125574
2007-08-31,253.7188964641
2007-09-28,258.1896263949
2007-10-31,271.5871377464
2007-11-30,268.4494372266
2007-12-31,294.2378713441
2008-01-31,282.2673331767
2008-02-29,293.5699664119
2008-03-31,289.3381553461
2008-04-30,291.6518768392
2008-05-30,318.1172430992
2008-06-30,338.5313355764
2008-07-31,332.8259315654
2008-08-29,332.917425414
2008-09-30,311.566165836
2008-10-31,303.9664127623
2008-11-28,291.7031614092
2008-12-31,300.4310950204
2009-01-30,333.7343926363
2009-02-27,340.4054761576
2009-03-31,336.9752782555
2009-04-30,360.4127849939
2009-05-29,369.5547273678
2009-06-30,385.5501646324
2009-07-31,367.8192908862
2009-08-31,353.5823670674
2009-09-30,368.2997380813
2009-10-30,350.498191221
2009-11-30,335.1181202913
2009-12-31,360.3728564191
2010-01-29,356.8132374925
2010-02-26,344.8104683592
2010-03-31,335.7047824728
2010-04-30,343.3435098047
2010-05-28,342.7924091371
2010-06-30,346.4032129787
2010-07-30,342.9416056714
2010-08-31,347.8927222208
2010-09-30,345.2491550032
2010-10-29,342.2580544239
2010-11-30,338.2354612845
2010-12-31,333.0742925572
2011-01-31,334.541185049
2011-02-28,330.7761581901
2011-03-31,338.4853596434
2011-04-29,313.4444835253
2011-05-31,303.3083471615
2011-06-30,296.1845743425
2011-07-29,286.4156073823
2011-08-31,278.1524598262
2011-09-30,257.1851326978
2011-10-31,248.6939597937
2011-11-30,239.5586596992
2011-12-30,225.6895308752
2012-01-31,243.0840323815
2012-02-29,232.5480897828
2012-03-30,217.1961950877
2012-04-30,208.4953155125
2012-05-31,202.0766412777
2012-06-29,198.3962194101
2012-07-31,185.8512693436
2012-08-31,181.5168646251
2012-09-28,185.1062335613
2012-10-31,181.3901148588
2012-11-30,175.8557754814
2012-12-31,183.6185769785
2013-01-31,188.5928042288
2013-02-28,189.5651887274
2013-03-28,183.803354816
2013-04-30,185.6958492982
2013-05-31,199.8295503496
2013-06-28,204.6947204802
2013-07-31,211.2821855052
2013-08-30,209.8823353851
2013-09-30,224.3351688115
2013-10-31,216.2198889467
2013-11-29,213.211254058
2013-12-31,215.2099816381
2014-01-31,232.7153982755
2014-02-28,235.5423318476
2014-03-31,235.9350515775
2014-04-30,223.1661522121
2014-05-30,209.8382232697
2014-06-30,216.2308817901
2014-07-31,205.1632770904
2014-08-29,204.5441353528
2014-09-30,191.2984912342
2014-10-31,181.987591939
2014-11-28,164.3068604255
2014-12-31,157.8184975221
2015-01-30,152.2044201098
2015-02-27,159.6626497813
2015-03-31,162.8252156157
2015-04-30,165.5366462362
2015-05-29,158.3458005383
2015-06-30,155.7979532694
2015-07-31,135.9474088676
2015-08-31,139.3426410251
2015-09-30,131.3989539428
2015-10-30,127.5719988289
2015-11-30,120.3339846029
2015-12-31,124.3935959743
